player_id,name,team,dob,age_years,age_days
leverca01,Caris LeVert,Atlanta Hawks,1994-08-25,30,11253
capelca01,Clint Capela,Atlanta Hawks,1994-05-18,31,11352
plowdda01,Daeqwon Plowden,Atlanta Hawks,1998-08-29,26,9788
barlodo01,Dominick Barlow,Atlanta Hawks,2003-05-26,22,8057
daniedy01,Dyson Daniels,Atlanta Hawks,2003-03-17,22,8127
mathega01,Garrison Mathews,Atlanta Hawks,1996-10-24,28,10462
niangge01,Georges Niang,Atlanta Hawks,1993-06-17,31,11687
toppija01,Jacob Toppin,Atlanta Hawks,2000-05-08,25,9170
johnsja05,Jalen Johnson,Atlanta Hawks,2001-12-18,23,8581
wallake01,Keaton Wallace,Atlanta Hawks,1999-02-26,26,9607
bufkiko01,Kobe Bufkin,Atlanta Hawks,2003-09-21,21,7939
nancela02,Larry Nance Jr.,Atlanta Hawks,1993-01-01,32,11854
gueyemo02,Mouhamed Gueye,Atlanta Hawks,2002-11-09,22,8255
okongon01,Onyeka Okongwu,Atlanta Hawks,2000-12-11,24,8953
mannte01,Terance Mann,Atlanta Hawks,1996-10-18,28,10468
youngtr01,Trae Young,Atlanta Hawks,1998-09-19,26,9767
krejcvi01,Vit Krejci,Atlanta Hawks,2000-06-19,24,9128
risacza01,Zaccharie Risacher,Atlanta Hawks,2005-04-08,20,7374
horfoal01,Al Horford,Boston Celtics,1986-06-03,39,14258
scheiba01,Baylor Scheierman,Boston Celtics,2000-09-26,24,9029
whitede01,Derrick White,Boston Celtics,1994-07-02,30,11307
peterdr01,Drew Peterson,Boston Celtics,1999-11-09,25,9351
davisjd01,JD Davison,Boston Celtics,2002-10-03,22,8292
brownja02,Jaylen Brown,Boston Celtics,1996-10-24,28,10462
tatumja01,Jayson Tatum,Boston Celtics,1998-03-03,27,9967
walshjo01,Jordan Walsh,Boston Celtics,2004-03-03,21,7775
holidjr01,Jrue Holiday,Boston Celtics,1990-06-12,35,12788
porzikr01,Kristaps PorziÅÄ£is,Boston Celtics,1995-08-02,29,10911
kornelu01,Luke Kornet,Boston Celtics,1995-07-15,29,10929
norrimi01,Miles Norris,Boston Celtics,2000-04-15,25,9193
quetane01,Neemias Queta,Boston Celtics,1999-07-13,25,9470
pritcpa01,Payton Pritchard,Boston Celtics,1998-01-28,27,10001
hausesa01,Sam Hauser,Boston Celtics,1997-12-08,27,10052
craigto01,Torrey Craig,Boston Celtics,1990-12-19,34,12598
